member_full,office_locations,state_and_district,name,last_name,first_name,middle_name,suffix,party,capitol_address,capitol_city,capitol_state,capitol_zip,bioguide_id,office_location_ids
"CA03 John Garamendi, D","Davis Office, Fairfield Office, Yuba City Office",CA03,John Garamendi,Garamendi,John,,,D,2438 Rayburn House Office Building,Washington,DC,20515-0503,G000559,"129,130,131"
"CA04 Tom McClintock, R",Roseville District Office,CA04,Tom McClintock,McClintock,Tom,,,R,2312 Rayburn House Office Building,Washington,DC,20515-0504,M001177,132
"CA05 Mike Thompson, D","Napa District Office, Santa Rosa District Office, Vallejo District Office",CA05,Mike Thompson,Thompson,Mike,,,D,231 Cannon House Office Building,Washington,DC,20515-0505,T000460,"133,134,135"
"CA06 Doris O. Matsui, D",Sacramento Office,CA06,Doris O. Matsui,Matsui,Doris,O.,,D,2311 Rayburn House Office Building,Washington,DC,20515-0506,M001163,136
"CA07 Ami Bera, D",Sacramento County Office,CA07,Ami Bera,Bera,Ami,,,D,1431 Longworth House Office Building,Washington,DC,20515-0507,B001287,137
"CA08 Paul Cook, R","Apple Valley District Office, Yucaipa District Office",CA08,Paul Cook,Cook,Paul,,,R,1222 Longworth House Office Building,Washington,DC,20515-0508,C001094,"138,139"
"CA09 Jerry McNerney, D","Antioch Office, Stockton Office",CA09,Jerry McNerney,McNerney,Jerry,,,D,2265 Rayburn House Office Building,Washington,DC,20515-0509,M001166,"140,141"
"CA10 Jeff Denham, R",Modesto District Office,CA10,Jeff Denham,Denham,Jeff,,,R,1730 Longworth House Office Building,Washington,DC,20515-0510,D000612,142
"CA11 Mark DeSaulnier, D","Richmond Office, Walnut Creek Office",CA11,Mark DeSaulnier,DeSaulnier,Mark,,,D,115 Cannon House Office Building,Washington,DC,20515-0511,D000623,"143,144"
"CA12 Nancy Pelosi, D",San Francisco District Office,CA12,Nancy Pelosi,Pelosi,Nancy,,,D,233 Cannon House Office Building,Washington,DC,20515-0512,P000197,145
"CA13 Barbara Lee, D", Oakland Office,CA13,Barbara Lee,Lee,Barbara,,,D,2267 Rayburn House Office Building,Washington,DC,20515-0513,L000551,146
"CA14 Jackie Speier, D",San Mateo Office,CA14,Jackie Speier,Speier,Jackie,,,D,2465 Rayburn House Office Building,Washington,DC,20515-0514,S001175,147
"CA15 Eric Swalwell, D",Castro Valley District Office,CA15,Eric Swalwell,Swalwell,Eric,,,D,129 Cannon House Office Building,Washington,DC,20515-0515,S001193,148
"CA16 Jim Costa, D","Fresno Office, Merced Office",CA16,Jim Costa,Costa,Jim,,,D,2081 Rayburn House Office Building,Washington,DC,20515-0516,C001059,"149,150"
"CA17 Ro Khanna, D",Santa Clara Office,CA17,Ro Khanna,Khanna,Ro,,,D,513 Cannon House Office Building,Washington,DC,20515-0517,K000389,151
"CA18 Anna G. Eshoo, D",Palo Alto Office,CA18,Anna G. Eshoo,Eshoo,Anna,G.,,D,241 Cannon House Office Building,Washington,DC,20515-0518,E000215,152
"CA19 Zoe Lofgren, D", San Jose Office,CA19,Zoe Lofgren,Lofgren,Zoe,,,D,1401 Longworth House Office Building,Washington,DC,20515-0519,L000397,153
"CA20 Jimmy Panetta, D","Salinas Office, Santa Cruz Office",CA20,Jimmy Panetta,Panetta,Jimmy,,,D,228 Cannon House Office Building,Washington,DC,20515-0520,P000613,"154,155"
"CA21 David G. Valadao, R","Hanford Office, Bakersfield Office",CA21,David G. Valadao,Valadao,David,G.,,R,1728 Longworth House Office Building,Washington,DC,20515-0521,V000129,"156,157"
"CA22 Devin Nunes, R","Clovis Office, Visalia Office",CA22,Devin Nunes,Nunes,Devin,,,R,1013 Longworth House Office Building,Washington,DC,20515-0522,N000181,"158,159"
"CA23 Kevin McCarthy, R",Bakersfield District Office,CA23,Kevin McCarthy,McCarthy,Kevin,,,R,2421 Rayburn House Office Building,Washington,DC,20515-0523,M001165,160
"CA24 Salud O. Carbajal, D",San Luis Obispo Office,CA24,Salud O. Carbajal,Carbajal,Salud,O.,,D,212 Cannon House Office Building,Washington,DC,20515-0524,C001112,161
"CA25 Stephen Knight, R","Antelope Valley Office, Santa Clarita Valley Office, Simi Valley Office",CA25,Stephen Knight,Knight,Stephen,,,R,1023 Longworth House Office Building,Washington,DC,20515-0525,K000387,"162,163,164"
"CA26 Julia Brownley, D","Oxnard, CA Office, Thousand Oaks, CA Office",CA26,Julia Brownley,Brownley,Julia,,,D,1019 Longworth House Office Building,Washington,DC,20515-0526,B001285,"165,166"
"CA27 Judy Chu, D","Claremont Office, Pasadena Office",CA27,Judy Chu,Chu,Judy,,,D,2423 Rayburn House Office Building,Washington,DC,20515-0527,C001080,"167,168"
"CA28 Adam B. Schiff, D",,CA28,Adam B. Schiff,Schiff,Adam,B.,,D,2372 Rayburn House Office Building,Washington,DC,20515-0528,S001150,
"CA29 Tony Cardenas, D",,CA29,Tony Cardenas,Cardenas,Tony,,,D,1510 Longworth House Office Building,Washington,DC,20515-0529,C001097,
"CA30 Brad Sherman, D",,CA30,Brad Sherman,Sherman,Brad,,,D,2181 Rayburn House Office Building,Washington,DC,20515-0530,S000344,
"CA31 Pete Aguilar, D",,CA31,Pete Aguilar,Aguilar,Pete,,,D,1223 Longworth House Office Building,Washington,DC,20515-0531,A000371,
"CA32 Grace F. Napolitano, D",,CA32,Grace F. Napolitano,Napolitano,Grace,F.,,D,1610 Longworth House Office Building,Washington,DC,20515-0532,N000179,
"CA33 Ted Lieu, D",,CA33,Ted Lieu,Lieu,Ted,,,D,236 Cannon House Office Building,Washington,DC,20515-0533,L000582,
"CA34 Xavier Becerra, D",,CA34,Xavier Becerra,Becerra,Xavier,,,D,1226 Longworth House Office Building,Washington,DC,20515-0534,B000287,
"CA35 Norma J. Torres, D",,CA35,Norma J. Torres,Torres,Norma,J.,,D,1713 Longworth House Office Building,Washington,DC,20515-0535,T000474,
"CA36 Raul Ruiz, D",,CA36,Raul Ruiz,Ruiz,Raul,,,D,1319 Longworth House Office Building,Washington,DC,20515-0536,R000599,
"CA37 Karen Bass, D",,CA37,Karen Bass,Bass,Karen,,,D,2241 Rayburn House Office Building,Washington,DC,20515-0537,B001270,
"CA38 Linda T. Sanchez, D",,CA38,Linda T. Sanchez,Sanchez,Linda,T.,,D,2329 Rayburn House Office Building,Washington,DC,20515-0538,S001156,
"CA39 Edward R. Royce, R",,CA39,Edward R. Royce,Royce,Edward,R.,,R,2310 Rayburn House Office Building,Washington,DC,20515-0539,R000487,
"CA40 Lucille Roybal-Allard, D",,CA40,Lucille Roybal-Allard,Roybal-Allard,Lucille,,,D,2083 Rayburn House Office Building,Washington,DC,20515-0540,R000486,
"CA41 Mark Takano, D",,CA41,Mark Takano,Takano,Mark,,,D,1507 Longworth House Office Building,Washington,DC,20515-0541,T000472,
"CA42 Ken Calvert, R",District Office,CA42,Ken Calvert,Calvert,Ken,,,R,2205 Rayburn House Office Building,Washington,DC,20515-0542,C000059,63
"CA43 Maxine Waters, D",,CA43,Maxine Waters,Waters,Maxine,,,D,2221 Rayburn House Office Building,Washington,DC,20515-0543,W000187,
"CA44 Nanette Diaz Barragan, D",,CA44,Nanette Diaz Barragan,Barragan,Nanette,Diaz,,D,1320 Longworth House Office Building,Washington,DC,20515-0544,B001300,
"CA45 Mimi Walters, R",,CA45,Mimi Walters,Walters,Mimi,,,R,215 Cannon House Office Building,Washington,DC,20515-0545,W000820,
"CA46 J. Luis Correa, D",,CA46,J. Luis Correa,Correa,J.,Luis,,D,1039 Longworth House Office Building,Washington,DC,20515-0546,C001110,
"CA47 Alan S. Lowenthal, D",,CA47,Alan S. Lowenthal,Lowenthal,Alan,S.,,D,125 Cannon House Office Building,Washington,DC,20515-0547,L000579,
"CA48 Dana Rohrabacher, R",,CA48,Dana Rohrabacher,Rohrabacher,Dana,,,R,2300 Rayburn House Office Building,Washington,DC,20515-0548,R000409,
"CA49 Darrell E. Issa, R",,CA49,Darrell E. Issa,Issa,Darrell,E.,,R,2269 Rayburn House Office Building,Washington,DC,20515-0549,I000056,
"CA50 Duncan Hunter, R",,CA50,Duncan Hunter,Hunter,Duncan,,,R,2429 Rayburn House Office Building,Washington,DC,20515-0550,H001048,
"CA51 Juan Vargas, D",,CA51,Juan Vargas,Vargas,Juan,,,D,1605 Longworth House Office Building,Washington,DC,20515-0551,V000130,
"CA52 Scott H. Peters, D",,CA52,Scott H. Peters,Peters,Scott,H.,,D,1122 Longworth House Office Building,Washington,DC,20515-0552,P000608,
"CA53 Susan A. Davis, D",,CA53,Susan A. Davis,Davis,Susan,A.,,D,1214 Longworth House Office Building,Washington,DC,20515-0553,D000598,
"CO01 Diana DeGette, D",,CO01,Diana DeGette,DeGette,Diana,,,D,2111 Rayburn House Office Building,Washington,DC,20515-0601,D000197,
"CO02 Jared Polis, D",,CO02,Jared Polis,Polis,Jared,,,D,1727 Longworth House Office Building,Washington,DC,20515-0602,P000598,
"CO03 Scott R. Tipton, R",,CO03,Scott R. Tipton,Tipton,Scott,R.,,R,218 Cannon House Office Building,Washington,DC,20515-0603,T000470,
"CO04 Ken Buck, R",,CO04,Ken Buck,Buck,Ken,,,R,1130 Longworth House Office Building,Washington,DC,20515-0604,B001297,
"CO05 Doug Lamborn, R",,CO05,Doug Lamborn,Lamborn,Doug,,,R,2402 Rayburn House Office Building,Washington,DC,20515-0605,L000564,
"CO06 Mike Coffman, R",,CO06,Mike Coffman,Coffman,Mike,,,R,2443 Rayburn House Office Building,Washington,DC,20515-0606,C001077,
"CO07 Ed Perlmutter, D",,CO07,Ed Perlmutter,Perlmutter,Ed,,,D,1410 Longworth House Office Building,Washington,DC,20515-0607,P000593,
"CT01 John B. Larson, D",,CT01,John B. Larson,Larson,John,B.,,D,1501 Longworth House Office Building,Washington,DC,20515-0701,L000557,
"CT02 Joe Courtney, D",,CT02,Joe Courtney,Courtney,Joe,,,D,2348 Rayburn House Office Building,Washington,DC,20515-0702,C001069,
"CT03 Rosa L. DeLauro, D",,CT03,Rosa L. DeLauro,DeLauro,Rosa,L.,,D,2413 Rayburn House Office Building,Washington,DC,20515-0703,D000216,
"CT04 James A. Himes, D",,CT04,James A. Himes,Himes,James,A.,,D,1227 Longworth House Office Building,Washington,DC,20515-0704,H001047,
"CT05 Elizabeth H. Esty, D",,CT05,Elizabeth H. Esty,Esty,Elizabeth,H.,,D,221 Cannon House Office Building,Washington,DC,20515-0705,E000293,
"DC00 Eleanor Holmes Norton, D",,DC00,Eleanor Holmes Norton,Norton,Eleanor,Holmes,,D,2136 Rayburn House Office Building,Washington,DC,20515-5101,N000147,
"DE00 Lisa Blunt Rochester, D",,DE00,Lisa Blunt Rochester,Blunt Rochester,Lisa,,,D,1123 Longworth House Office Building,Washington,DC,20515-0800,B001303,
"FL01 Matt Gaetz, R",,FL01,Matt Gaetz,Gaetz,Matt,,,R,507 Cannon House Office Building,Washington,DC,20515-0901,G000578,
"FL02 Neal P. Dunn, R",,FL02,Neal P. Dunn,Dunn,Neal,P.,,R,423 Cannon House Office Building,Washington,DC,20515-0902,D000628,
"FL03 Ted S. Yoho, R",,FL03,Ted S. Yoho,Yoho,Ted,S.,,R,511 Cannon House Office Building,Washington,DC,20515-0903,Y000065,
"FL04 John H. Rutherford, R",,FL04,John H. Rutherford,Rutherford,John,H.,,R,230 Cannon House Office Building,Washington,DC,20515-0904,R000609,
"FL05 Al  Lawson, Jr., D",,FL05,"Al  Lawson, Jr.",Lawson,Al,,Jr.,D,1337 Longworth House Office Building,Washington,DC,20515-0905,L000586,
"FL06 Ron DeSantis, R",,FL06,Ron DeSantis,DeSantis,Ron,,,R,1524 Longworth House Office Building,Washington,DC,20515-0906,D000621,
"FL07 Stephanie N. Murphy, D",,FL07,Stephanie N. Murphy,Murphy,Stephanie,N.,,D,1237 Longworth House Office Building,Washington,DC,20515-0907,M001202,
"FL08 Bill Posey, R",,FL08,Bill Posey,Posey,Bill,,,R,2150 Rayburn House Office Building,Washington,DC,20515-0908,P000599,
"FL09 Darren Soto, D",,FL09,Darren Soto,Soto,Darren,,,D,1429 Longworth House Office Building,Washington,DC,20515-0909,S001200,
"FL10 Val Butler Demings, D",,FL10,Val Butler Demings,Demings,Val,Butler,,D,238 Cannon House Office Building,Washington,DC,20515-0910,D000627,
"FL11 Daniel Webster, R",,FL11,Daniel Webster,Webster,Daniel,,,R,1210 Longworth House Office Building,Washington,DC,20515-0911,W000806,
"FL12 Gus M. Bilirakis, R",,FL12,Gus M. Bilirakis,Bilirakis,Gus,M.,,R,2112 Rayburn House Office Building,Washington,DC,20515-0912,B001257,
"FL13 Charlie Crist, D",,FL13,Charlie Crist,Crist,Charlie,,,D,427 Cannon House Office Building,Washington,DC,20515-0913,C001111,
"FL14 Kathy Castor, D",,FL14,Kathy Castor,Castor,Kathy,,,D,2052 Rayburn House Office Building,Washington,DC,20515-0914,C001066,
"FL15 Dennis A. Ross, R",,FL15,Dennis A. Ross,Ross,Dennis,A.,,R,436 Cannon House Office Building,Washington,DC,20515-0915,R000593,
"FL16 Vern Buchanan, R",,FL16,Vern Buchanan,Buchanan,Vern,,,R,2104 Rayburn House Office Building,Washington,DC,20515-0916,B001260,
"FL17 Thomas J. Rooney, R",,FL17,Thomas J. Rooney,Rooney,Thomas,J.,,R,2160 Rayburn House Office Building,Washington,DC,20515-0917,R000583,
"FL18 Brian J. Mast, R",,FL18,Brian J. Mast,Mast,Brian,J.,,R,2182 Rayburn House Office Building,Washington,DC,20515-0918,M001199,
"FL19 Francis Rooney, R",,FL19,Francis Rooney,Rooney,Francis,,,R,120 Cannon House Office Building,Washington,DC,20515-0919,R000607,
"FL20 Alcee L. Hastings, D",,FL20,Alcee L. Hastings,Hastings,Alcee,L.,,D,2353 Rayburn House Office Building,Washington,DC,20515-0920,H000324,
"FL21 Lois Frankel, D",,FL21,Lois Frankel,Frankel,Lois,,,D,1037 Longworth House Office Building,Washington,DC,20515-0921,F000462,
"FL22 Theodore E. Deutch, D",,FL22,Theodore E. Deutch,Deutch,Theodore,E.,,D,2447 Rayburn House Office Building,Washington,DC,20515-0922,D000610,
"FL23 Debbie Wasserman Schultz, D",,FL23,Debbie Wasserman Schultz,Wasserman Schultz,Debbie,,,D,1114 Longworth House Office Building,Washington,DC,20515-0923,W000797,
"FL24 Frederica S. Wilson, D",,FL24,Frederica S. Wilson,Wilson,Frederica,S.,,D,2445 Rayburn House Office Building,Washington,DC,20515-0924,W000808,
"FL25 Mario Diaz-Balart, R",,FL25,Mario Diaz-Balart,Diaz-Balart,Mario,,,R,440 Cannon House Office Building,Washington,DC,20515-0925,D000600,
"FL26 Carlos Curbelo, R",,FL26,Carlos Curbelo,Curbelo,Carlos,,,R,1404 Longworth House Office Building,Washington,DC,20515-0926,C001107,
"FL27 Ileana Ros-Lehtinen, R",,FL27,Ileana Ros-Lehtinen,Ros-Lehtinen,Ileana,,,R,2206 Rayburn House Office Building,Washington,DC,20515-0927,R000435,
"GA01 Earl L. ""Buddy"" Carter, R",,GA01,"Earl L. ""Buddy"" Carter",Carter,Earl,"L. ""Buddy""",,R,432 Cannon House Office Building,Washington,DC,20515-1001,C001103,
"GA02 Sanford D. Bishop, Jr., D",,GA02,"Sanford D. Bishop, Jr.",Bishop,Sanford,D.,Jr.,D,2407 Rayburn House Office Building,Washington,DC,20515-1002,B000490,
"GA03 A. Drew Ferguson, IV, R",,GA03,"A. Drew Ferguson, IV",Ferguson,A.,Drew,IV,R,1032 Longworth House Office Building,Washington,DC,20515-1003,F000465,
"GA04 Henry C. ""Hank"" Johnson, Jr., D",,GA04,"Henry C. ""Hank"" Johnson, Jr.",Johnson,Henry,"C. ""Hank""",Jr.,D,2240 Rayburn House Office Building,Washington,DC,20515-1004,J000288,
"GA05 John Lewis, D",,GA05,John Lewis,Lewis,John,,,D,343 Cannon House Office Building,Washington,DC,20515-1005,L000287,
"GA06 Tom Price, R",,GA06,Tom Price,Price,Tom,,,R,1211 Longworth House Office Building,Washington,DC,20515-1006,P000591,
"GA07 Rob Woodall, R",,GA07,Rob Woodall,Woodall,Rob,,,R,1724 Longworth House Office Building,Washington,DC,20515-1007,W000810,
"GA08 Austin Scott, R",,GA08,Austin Scott,Scott,Austin,,,R,2417 Rayburn House Office Building,Washington,DC,20515-1008,S001189,
"GA09 Doug Collins, R",Gainesville,GA09,Doug Collins,Collins,Doug,,,R,1504 Longworth House Office Building,Washington,DC,20515-1009,C001093,91
"GA10 Jody B. Hice, R","MILLEDGEVILLE OFFICE, MONROE OFFICE, THOMSON OFFICE",GA10,Jody B. Hice,Hice,Jody,B.,,R,324 Cannon House Office Building,Washington,DC,20515-1010,H001071,"92,93,94"
"GA11 Barry Loudermilk, R","Woodstock District Office, Cartersville District Office, 600 Galleria Pkwy, Suite 120, Galleria District Office",GA11,Barry Loudermilk,Loudermilk,Barry,,,R,329 Cannon House Office Building,Washington,DC,20515-1011,L000583,"230,231,232,233"
"GA12 Rick W. Allen, R","AUGUSTA DISTRICT OFFICE, DUBLIN DISTRICT OFFICE, STATESBORO DISTRICT OFFICE, VIDALIA DISTRICT OFFICE",GA12,Rick W. Allen,Allen,Rick,W.,,R,426 Cannon House Office Building,Washington,DC,20515-1012,A000372,"234,235,236,237"
"GA13 David Scott, D","JONESBORO DISTRICT OFFICE, SMYRNA DISTRICT OFFICE",GA13,David Scott,Scott,David,,,D,225 Cannon House Office Building,Washington,DC,20515-1013,S001157,"238,239"
"GA14 Tom Graves, R","ROME, GA OFFICE, DALTON, GA OFFICE ",GA14,Tom Graves,Graves,Tom,,,R,2078 Rayburn House Office Building,Washington,DC,20515-1014,G000560,"240,241"
"GU00 Madeleine Z. Bordallo, D",GUAM OFFICE,GU00,Madeleine Z. Bordallo,Bordallo,Madeleine,Z.,,D,2441 Rayburn House Office Building,Washington,DC,20515-5301,B001245,242
"HI01 Colleen Hanabusa, D",Honolulu Office,HI01,Colleen Hanabusa,Hanabusa,Colleen,,,D,422 Cannon House Office Building,Washington,DC,20515-1101,H001050,243
"HI02 Tulsi Gabbard, D",Hawaiʻi District Office,HI02,Tulsi Gabbard,Gabbard,Tulsi,,,D,1433 Longworth House Office Building,Washington,DC,20515-1102,G000571,244
"IA01 Rod Blum, R","Cedar Falls Office, Cedar Rapids Office, Dubuque Office",IA01,Rod Blum,Blum,Rod,,,R,1108 Longworth House Office Building,Washington,DC,20515-1501,B001294,"245,246,247"
"IA02 David Loebsack, D","Iowa City Office, Davenport Office",IA02,David Loebsack,Loebsack,David,,,D,1527 Longworth House Office Building,Washington,DC,20515-1502,L000565,"248,249"
"IA03 David Young, R","Council Bluffs Constituent Services Office, Creston Constituent Services Office, Des Moines Constituent Services Office",IA03,David Young,Young,David,,,R,240 Cannon House Office Building,Washington,DC,20515-1503,Y000066,"250,251,252"
"IA04 Steve King, R","Ames, Fort Dodge, Mason City, Sioux City, Spencer",IA04,Steve King,King,Steve,,,R,2210 Rayburn House Office Building,Washington,DC,20515-1504,K000362,"253,254,255,256,257"
"ID01 Raul R. Labrador, R",,ID01,Raul R. Labrador,Labrador,Raul,R.,,R,1523 Longworth House Office Building,Washington,DC,20515-1201,L000573,
"ID02 Michael K. Simpson, R",,ID02,Michael K. Simpson,Simpson,Michael,K.,,R,2084 Rayburn House Office Building,Washington,DC,20515-1202,S001148,
"IL01 Bobby L. Rush, D",,IL01,Bobby L. Rush,Rush,Bobby,L.,,D,2188 Rayburn House Office Building,Washington,DC,20515-1301,R000515,
"IL02 Robin L. Kelly, D",,IL02,Robin L. Kelly,Kelly,Robin,L.,,D,1239 Longworth House Office Building,Washington,DC,20515-1302,K000385,
"IL03 Daniel Lipinski, D",,IL03,Daniel Lipinski,Lipinski,Daniel,,,D,2346 Rayburn House Office Building,Washington,DC,20515-1303,L000563,
"IL04 Luis V. Gutierrez, D",,IL04,Luis V. Gutierrez,Gutierrez,Luis,V.,,D,2408 Rayburn House Office Building,Washington,DC,20515-1304,G000535,
"IL05 Mike Quigley, D",,IL05,Mike Quigley,Quigley,Mike,,,D,2458 Rayburn House Office Building,Washington,DC,20515-1305,Q000023,
"IL06 Peter J. Roskam, R",,IL06,Peter J. Roskam,Roskam,Peter,J.,,R,2246 Rayburn House Office Building,Washington,DC,20515-1306,R000580,
"IL07 Danny K. Davis, D",,IL07,Danny K. Davis,Davis,Danny,K.,,D,2159 Rayburn House Office Building,Washington,DC,20515-1307,D000096,
"IL08 Raja Krishnamoorthi, D",,IL08,Raja Krishnamoorthi,Krishnamoorthi,Raja,,,D,515 Cannon House Office Building,Washington,DC,20515-1308,K000391,
"IL09 Janice D. Schakowsky, D",,IL09,Janice D. Schakowsky,Schakowsky,Janice,D.,,D,2367 Rayburn House Office Building,Washington,DC,20515-1309,S001145,
"IL10 Bradley Scott Schneider, D",,IL10,Bradley Scott Schneider,Schneider,Bradley,Scott,,D,1432 Longworth House Office Building,Washington,DC,20515-1310,S001190,
"IL11 Bill Foster, D",,IL11,Bill Foster,Foster,Bill,,,D,1224 Longworth House Office Building,Washington,DC,20515-1311,F000454,
"IL12 Mike Bost, R",,IL12,Mike Bost,Bost,Mike,,,R,1440 Longworth House Office Building,Washington,DC,20515-1312,B001295,
"IL13 Rodney Davis, R",,IL13,Rodney Davis,Davis,Rodney,,,R,1740 Longworth House Office Building,Washington,DC,20515-1313,D000619,
"IL14 Randy Hultgren, R",,IL14,Randy Hultgren,Hultgren,Randy,,,R,2455 Rayburn House Office Building,Washington,DC,20515-1314,H001059,
"IL15 John Shimkus, R",,IL15,John Shimkus,Shimkus,John,,,R,2217 Rayburn House Office Building,Washington,DC,20515-1315,S000364,
"IL16 Adam Kinzinger, R",,IL16,Adam Kinzinger,Kinzinger,Adam,,,R,2245 Rayburn House Office Building,Washington,DC,20515-1316,K000378,
"IL17 Cheri Bustos, D",,IL17,Cheri Bustos,Bustos,Cheri,,,D,1009 Longworth House Office Building,Washington,DC,20515-1317,B001286,
"IL18 Darin LaHood, R",,IL18,Darin LaHood,LaHood,Darin,,,R,1424 Longworth House Office Building,Washington,DC,20515-1318,L000585,
"IN01 Peter J. Visclosky, D",,IN01,Peter J. Visclosky,Visclosky,Peter,J.,,D,2328 Rayburn House Office Building,Washington,DC,20515-1401,V000108,
"IN02 Jackie Walorski, R",,IN02,Jackie Walorski,Walorski,Jackie,,,R,419 Cannon House Office Building,Washington,DC,20515-1402,W000813,
"IN03 Jim Banks, R",,IN03,Jim Banks,Banks,Jim,,,R,509 Cannon House Office Building,Washington,DC,20515-1403,B001299,
"IN04 Todd Rokita, R",,IN04,Todd Rokita,Rokita,Todd,,,R,2439 Rayburn House Office Building,Washington,DC,20515-1404,R000592,
"IN05 Susan W. Brooks, R",5th District Offices,IN05,Susan W. Brooks,Brooks,Susan,W.,,R,1030 Longworth House Office Building,Washington,DC,20515-1405,B001284,186
"IN06 Luke Messer, R",Shelbyville Office,IN06,Luke Messer,Messer,Luke,,,R,1230 Longworth House Office Building,Washington,DC,20515-1406,M001189,187
"IN07 Andre Carson, D",Indianapolis Office,IN07,Andre Carson,Carson,Andre,,,D,2135 Rayburn House Office Building,Washington,DC,20515-1407,C001072,188
"IN08 Larry Bucshon, R",Evansvile Office,IN08,Larry Bucshon,Bucshon,Larry,,,R,1005 Longworth House Office Building,Washington,DC,20515-1408,B001275,189
"IN09 Trey Hollingsworth, R",Jeffersonville Office,IN09,Trey Hollingsworth,Hollingsworth,Trey,,,R,1641 Longworth House Office Building,Washington,DC,20515-1409,H001074,190
"KS01 Roger W. Marshall, R",Salina Office,KS01,Roger W. Marshall,Marshall,Roger,W.,,R,312 Cannon House Office Building,Washington,DC,20515-1601,M001198,266
"KS02 Lynn Jenkins, R",Topeka Office,KS02,Lynn Jenkins,Jenkins,Lynn,,,R,1526 Longworth House Office Building,Washington,DC,20515-1602,J000290,267
"KS03 Kevin Yoder, R",Overland Park Office,KS03,Kevin Yoder,Yoder,Kevin,,,R,2433 Rayburn House Office Building,Washington,DC,20515-1603,Y000063,268
"KS04 Mike Pompeo, R",Wichita Office,KS04,Mike Pompeo,Pompeo,Mike,,,R,2452 Rayburn House Office Building,Washington,DC,20515-1604,P000602,269
"KY01 James Comer, R",Tompkinsville Office,KY01,James Comer,Comer,James,,,R,1513 Longworth House Office Building,Washington,DC,20515-1701,C001108,270
"KY02 Brett Guthrie, R",Bowling Green District Office,KY02,Brett Guthrie,Guthrie,Brett,,,R,2434 Rayburn House Office Building,Washington,DC,20515-1702,G000558,271
"KY03 John A. Yarmuth, D",Romano Mazzoli Federal Office Building,KY03,John A. Yarmuth,Yarmuth,John,A.,,D,131 Cannon House Office Building,Washington,DC,20515-1703,Y000062,272
"KY04 Thomas Massie, R",Ashland Office,KY04,Thomas Massie,Massie,Thomas,,,R,2453 Rayburn House Office Building,Washington,DC,20515-1704,M001184,273
"KY05 Harold Rogers, R","Somerset, KY Offixe",KY05,Harold Rogers,Rogers,Harold,,,R,2406 Rayburn House Office Building,Washington,DC,20515-1705,R000395,274
"KY06 Andy Barr, R",,KY06,Andy Barr,Barr,Andy,,,R,1427 Longworth House Office Building,Washington,DC,20515-1706,B001282,
"LA01 Steve Scalise, R",,LA01,Steve Scalise,Scalise,Steve,,,R,2338 Rayburn House Office Building,Washington,DC,20515-1801,S001176,
"LA02 Cedric L. Richmond, D",,LA02,Cedric L. Richmond,Richmond,Cedric,L.,,D,420 Cannon House Office Building,Washington,DC,20515-1802,R000588,
"LA03 Clay Higgins, R",,LA03,Clay Higgins,Higgins,Clay,,,R,1711 Longworth House Office Building,Washington,DC,20515-1803,H001077,
"LA04 Mike Johnson, R",,LA04,Mike Johnson,Johnson,Mike,,,R,327 Cannon House Office Building,Washington,DC,20515-1804,J000299,
"LA05 Ralph Lee Abraham, R",,LA05,Ralph Lee Abraham,Abraham,Ralph,Lee,,R,417 Cannon House Office Building,Washington,DC,20515-1805,A000374,
"LA06 Garret Graves, R",,LA06,Garret Graves,Graves,Garret,,,R,430 Cannon House Office Building,Washington,DC,20515-1806,G000577,
"MA01 Richard E. Neal, D",,MA01,Richard E. Neal,Neal,Richard,E.,,D,341 Cannon House Office Building,Washington,DC,20515-2101,N000015,
"MA02 James P. McGovern, D",,MA02,James P. McGovern,McGovern,James,P.,,D,438 Cannon House Office Building,Washington,DC,20515-2102,M000312,
"MA03 Niki Tsongas, D",,MA03,Niki Tsongas,Tsongas,Niki,,,D,1714 Longworth House Office Building,Washington,DC,20515-2103,T000465,
"MA04 Joseph P. Kennedy, III, D",,MA04,"Joseph P. Kennedy, III",Kennedy,Joseph,P.,III,D,434 Cannon House Office Building,Washington,DC,20515-2104,K000379,
"MA05 Katherine M. Clark, D",,MA05,Katherine M. Clark,Clark,Katherine,M.,,D,1415 Longworth House Office Building,Washington,DC,20515-2105,C001101,
"MA06 Seth Moulton, D",,MA06,Seth Moulton,Moulton,Seth,,,D,1408 Longworth House Office Building,Washington,DC,20515-2106,M001196,
"MA07 Michael E. Capuano, D",,MA07,Michael E. Capuano,Capuano,Michael,E.,,D,1414 Longworth House Office Building,Washington,DC,20515-2107,C001037,
"MA08 Stephen F. Lynch, D",,MA08,Stephen F. Lynch,Lynch,Stephen,F.,,D,2268 Rayburn House Office Building,Washington,DC,20515-2108,L000562,
"MA09 William R. Keating, D",,MA09,William R. Keating,Keating,William,R.,,D,2351 Rayburn House Office Building,Washington,DC,20515-2109,K000375,
"MD01 Andy Harris, R",,MD01,Andy Harris,Harris,Andy,,,R,1533 Longworth House Office Building,Washington,DC,20515-2001,H001052,
"MD02 C. A. Dutch Ruppersberger, D",,MD02,C. A. Dutch Ruppersberger,Ruppersberger,C.,A. Dutch,,D,2416 Rayburn House Office Building,Washington,DC,20515-2002,R000576,
"MD03 John P. Sarbanes, D",,MD03,John P. Sarbanes,Sarbanes,John,P.,,D,2444 Rayburn House Office Building,Washington,DC,20515-2003,S001168,
